,DAY,WOUT,INIT,DUO1,DUO2,DANCE,READ,PORTF,JOURN,BED
0,4/20/2023,1,0,1,0,0,0,0,0,0
1,4/21/2023,1,0,0,0,0,0,0,0,0
2,4/22/2023,0,0,0,0,0,0,0,0,0
3,4/23/2023,1,0,1,0,0,0,0,0,0
4,4/24/2023,0,1,0,0,0,0,0,0,0
5,4/25/2023,1,0,1,0,0,0,0,0,0
6,4/26/2023,1,0,1,0,0,0,0,0,0
7,4/27/2023,1,0,1,0,0,0,0,0,0
8,4/28/2023,0,0,0,0,0,0,0,0,0
9,4/29/2023,0,0,0,0,0,0,0,0,0
10,4/30/2023,0,0,0,0,0,0,0,0,0
11,5/1/2023,0,0,1,0,0,0,0,0,0
12,5/2/2023,1,0,1,1,1,0,1,0,0
13,5/3/2023,1,0,1,0,1,0,0,0,0
14,5/4/2023,1,0,1,1,1,0,1,0,0
15,5/5/2023,0,0,1,0,0,0,0,0,0
16,5/6/2023,0,0,1,1,1,1,1,0,0
17,5/7/2023,0,0,1,1,0,1,1,0,0
18,5/8/2023,1,0,1,1,1,1,1,0,0
19,5/9/2023,0,1,1,1,1,1,1,0,0
20,5/10/2023,0,0,1,1,1,0,0,0,0
21,5/11/2023,0,0,0,0,0,0,1,0,0
22,5/12/2023,0,0,0,0,0,0,1,0,0
23,5/13/2023,0,0,1,0,0,0,0,0,0
24,5/14/2023,0,0,1,0,0,0,0,0,0
25,5/15/2023,0,1,1,0,0,1,0,0,0
26,5/16/2023,1,0,1,1,0,1,0,0,0
27,5/17/2023,1,0,1,0,0,0,0,0,0
28,5/18/2023,1,1,1,1,1,1,0,0,0
29,5/19/2023,1,1,1,1,1,1,0,0,1
30,5/20/2023,0,1,1,1,1,0,1,0,0
31,5/21/2023,1,0,1,1,0,1,0,0,1
32,5/22/2023,1,1,1,1,1,1,1,1,1
33,5/23/2023,1,1,1,1,1,1,1,1,0
34,5/24/2023,1,0,1,1,1,0,0,1,0
35,5/25/2023,1,1,1,1,0,1,1,1,0
36,5/26/2023,0,0,1,0,0,0,0,0,0
37,5/27/2023,0,1,1,0,1,1,0,1,0
38,5/28/2023,1,0,1,1,1,1,1,1,0
39,5/29/2023,1,1,1,1,1,1,1,1,0
40,5/30/2023,1,1,1,1,0,0,0,0,0
41,5/31/2023,1,1,1,1,0,1,1,1,0
42,6/1/2023,0,1,1,1,0,0,0,1,0
43,6/2/2023,1,0,1,0,0,0,0,0,0
44,6/3/2023,0,1,1,0,0,0,0,0,1
45,6/4/2023,0,1,0,0,0,0,0,1,0
46,6/5/2023,0,0,1,0,0,1,0,0,0
47,6/6/2023,0,0,1,0,0,0,0,0,0
48,6/7/2023,0,1,1,1,0,1,0,1,0
49,6/8/2023,0,1,1,1,1,1,0,1,0
50,6/9/2023,0,0,1,0,0,0,0,0,0
51,6/10/2023,0,0,0,0,0,0,0,0,0
52,6/11/2023,0,1,1,0,1,0,0,1,0
53,6/12/2023,1,1,1,1,0,0,0,1,1
54,6/13/2023,0,1,1,0,0,0,0,1,0
55,6/14/2023,0,1,1,0,0,0,1,1,1
56,6/15/2023,0,1,1,0,0,1,0,1,1
57,6/16/2023,0,0,1,0,0,0,0,0,0
58,6/17/2023,0,0,0,0,0,0,0,0,0
59,6/18/2023,0,0,0,0,0,0,0,0,0
60,6/19/2023,1,0,1,1,0,0,1,1,0
61,6/20/2023,0,1,1,1,1,1,0,1,1
62,6/21/2023,0,1,1,1,0,1,0,1,0
63,6/22/2023,0,1,1,0,0,1,0,1,0
64,6/23/2023,0,1,1,0,0,0,0,0,0
65,6/24/2023,0,1,0,0,0,0,0,0,0
66,6/25/2023,1,1,1,1,1,1,0,1,0
67,6/26/2023,1,1,1,1,0,0,0,1,0
68,6/27/2023,1,1,1,1,1,1,0,1,0
69,6/28/2023,0,1,1,0,0,0,0,0,0
70,6/29/2023,0,1,1,1,0,0,0,1,0
71,6/30/2023,0,0,1,0,0,0,0,0,0
72,7/1/2023,1,1,1,1,0,1,1,1,0
73,7/2/2023,0,1,1,1,1,0,0,0,0
74,7/3/2023,1,1,1,0,0,0,0,0,0
75,7/4/2023,0,1,1,0,0,1,0,0,0
76,7/5/2023,0,1,1,1,0,0,0,1,0
77,7/6/2023,1,1,1,0,0,0,0,0,0
78,7/7/2023,0,0,1,0,0,0,0,0,0
79,7/8/2023,0,1,1,1,0,0,0,1,0
80,7/9/2023,0,0,1,0,0,0,0,0,0
81,7/10/2023,1,1,0,0,0,0,0,0,0
82,7/11/2023,1,1,1,1,0,0,0,0,0
83,7/12/2023,1,1,1,0,0,0,0,0,0
84,7/13/2023,1,1,1,1,0,0,0,1,1
85,7/14/2023,0,1,1,0,0,0,0,0,0
86,7/15/2023,1,1,0,0,0,0,0,0,0
87,7/16/2023,0,0,1,0,1,0,0,1,0
88,7/17/2023,1,1,1,0,0,0,0,0,0
89,7/18/2023,0,1,1,1,0,1,0,1,0
90,7/19/2023,0,1,0,0,0,0,0,0,0
91,7/20/2023,0,1,1,0,0,0,0,1,0
92,7/21/2023,0,1,1,1,0,0,0,0,0
93,7/22/2023,0,1,1,1,0,1,1,1,0
94,7/23/2023,0,1,1,1,1,1,1,1,0
95,7/24/2023,0,1,0,0,0,0,0,0,0
96,7/25/2023,1,1,1,0,0,0,0,0,0
97,7/26/2023,0,1,0,0,0,0,0,0,0
98,7/27/2023,0,1,1,0,0,0,0,0,0
99,7/28/2023,0,0,0,0,0,0,0,0,0
100,7/29/2023,0,1,0,0,0,0,0,0,0
101,7/30/2023,0,1,1,0,0,0,0,0,0
102,7/31/2023,0,0,1,0,0,0,0,0,0
103,8/1/2023,0,0,1,0,0,1,0,0,0
104,8/2/2023,0,1,0,0,0,0,0,0,0
105,8/3/2023,0,1,1,0,0,0,0,1,0
106,8/4/2023,0,1,1,0,0,0,0,0,0
107,8/5/2023,0,0,1,1,0,0,0,1,0
108,8/6/2023,0,0,1,0,0,0,0,0,0
109,8/7/2023,0,1,1,0,0,0,0,0,0
110,8/8/2023,0,1,1,0,0,0,0,1,0
111,8/9/2023,0,1,1,0,0,0,0,1,0
112,8/10/2023,0,1,1,0,0,0,0,1,0
113,8/11/2023,0,1,1,0,0,0,0,0,0
114,8/12/2023,0,1,1,1,0,1,0,1,1
115,8/13/2023,0,1,1,1,0,0,1,1,0
116,8/14/2023,1,1,1,1,1,1,1,1,0
117,8/15/2023,1,1,1,1,0,0,0,1,0
118,8/16/2023,0,0,1,1,0,0,0,1,0
119,8/17/2023,0,1,1,1,0,1,1,1,0
120,8/18/2023,1,1,1,1,0,1,1,0,1
121,8/19/2023,0,0,0,0,0,0,0,0,0
122,8/20/2023,0,0,1,0,0,1,0,1,0
123,8/21/2023,0,0,1,0,0,0,0,0,0
124,8/22/2023,0,0,1,0,0,1,1,0,0
125,8/23/2023,1,0,1,0,0,1,0,0,0
126,8/24/2023,1,0,1,0,0,1,1,1,1
127,8/25/2023,1,0,1,0,0,1,0,0,0
128,8/26/2023,0,0,1,1,0,0,0,1,0
129,8/27/2023,0,0,1,1,0,0,0,0,0
130,8/28/2023,0,1,1,0,0,0,0,1,1
131,8/29/2023,0,1,1,0,0,1,0,1,1
132,8/30/2023,1,0,1,1,0,0,0,0,1
133,8/31/2023,0,1,1,1,0,1,0,1,0
